currency_name,buying_rate,average_rate,selling_rate,post_date
USD,899.500331,908.494426,917.488521,9/19/2019
USD,899.678761,908.67464,917.670519,9/20/2019
USD,899.827585,908.824952,917.822319,9/23/2019
USD,900.045717,909.045265,918.044813,9/24/2019
USD,900.214343,909.215577,918.216811,9/25/2019
USD,900.442277,909.44579,918.449303,9/26/2019
USD,900.630714,909.636112,918.64151,9/27/2019
USD,900.779547,909.786433,918.793319,9/30/2019
USD,900.947864,909.956433,918.965002,10/1/2019
USD,901.126081,910.136432,919.146783,10/2/2019
USD,901.343901,910.35643,919.368959,10/3/2019
USD,901.472614,910.48643,919.500246,10/4/2019
USD,901.680584,910.696479,919.712374,10/7/2019
USD,901.878611,910.896486,919.914361,10/8/2019
USD,902.046991,911.06655,920.086109,10/9/2019
USD,902.284681,911.306616,920.328551,10/10/2019
USD,902.483184,911.507104,920.531024,10/11/2019
USD,902.493084,911.517103,920.541122,10/14/2019
USD,902.671777,911.697583,920.723389,10/15/2019
USD,902.939148,911.967628,920.996108,10/16/2019
USD,902.935265,911.963706,920.992147,10/17/2019
USD,903.113505,912.143728,921.173951,10/18/2019
USD,903.133373,912.163795,921.194217,10/21/2019
USD,903.400911,912.434008,921.467105,10/22/2019
USD,903.628952,912.664329,921.699706,10/23/2019
USD,903.738075,912.774543,921.811011,10/24/2019
USD,903.985631,913.024574,922.063517,10/25/2019
USD,904.253275,913.294894,922.336513,10/28/2019
USD,904.501039,913.545136,922.589233,10/29/2019
USD,904.738978,913.785454,922.83193,10/30/2019
USD,904.986714,914.035667,923.08462,10/31/2019
USD,905.214746,914.265979,923.317212,11/1/2019
USD,905.393147,914.446164,923.499181,11/4/2019
USD,905.581586,914.636487,923.691388,11/5/2019
USD,905.80944,914.86662,923.9238,11/6/2019
USD,905.968067,915.026833,924.085599,11/7/2019
USD,906.255515,915.317155,924.378795,11/8/2019
USD,906.4803,915.544187,924.608074,11/11/2019
USD,906.559935,915.624619,924.689303,11/12/2019
USD,906.807779,915.874941,924.942103,11/13/2019
USD,907.00611,916.075255,925.1444,11/14/2019
USD,907.184736,916.255667,925.326598,11/15/2019
USD,907.392869,916.465881,925.538893,11/18/2019
USD,907.581307,916.656203,925.731099,11/19/2019
USD,907.848951,916.926524,926.004097,11/20/2019
USD,908.057191,917.136846,926.216501,11/21/2019
USD,908.305034,917.387167,926.4693,11/22/2019
USD,908.453978,917.5376,926.621222,11/25/2019
USD,908.654111,917.739734,926.825357,11/26/2019
USD,908.892053,917.980056,927.068059,11/27/2019
USD,909.070589,918.160377,927.250165,11/28/2019
USD,909.288767,918.380736,927.472705,11/29/2019
USD,909.486998,918.580949,927.6749,12/2/2019
USD,909.734734,918.831163,927.927592,12/3/2019
USD,909.952874,919.051484,928.150094,12/4/2019
USD,910.23042,919.331805,928.43319,12/5/2019
USD,910.458462,919.562127,928.665792,12/6/2019
USD,910.706305,919.812448,928.918591,12/9/2019
USD,910.904643,920.012769,929.120895,12/10/2019
USD,911.152477,920.263082,929.373687,12/11/2019
USD,911.331013,920.443403,929.555793,12/12/2019
USD,911.559055,920.673725,929.788395,12/13/2019
USD,911.777186,920.894037,930.010888,12/16/2019
USD,911.965624,921.084359,930.203094,12/17/2019
USD,912.213467,921.33468,930.455893,12/18/2019
USD,912.441507,921.565001,930.688495,12/19/2019
USD,912.659648,921.785323,930.910998,12/20/2019
USD,912.828283,921.955644,931.083005,12/23/2019
USD,912.977108,922.105957,931.234806,12/24/2019
USD,913.11604,922.246278,931.376516,12/27/2019
USD,913.235658,922.367092,931.498526,12/30/2019
USD,913.384515,922.517438,931.650361,12/31/2019
USD,913.572673,922.707477,931.842281,1/3/2020
USD,913.82025,922.95753,932.09481,1/6/2020
USD,914.078236,923.218095,932.357954,1/7/2020
USD,914.256481,923.398122,932.539763,1/8/2020
USD,914.474621,923.618444,932.762267,1/9/2020
USD,914.623555,923.768867,932.914179,1/10/2020
USD,914.762487,923.909188,933.055889,1/13/2020
USD,914.881617,924.029509,933.177401,1/14/2020
USD,915.02055,924.169831,933.319112,1/15/2020
USD,915.14958,924.300152,933.450724,1/16/2020
USD,915.298407,924.450467,933.602527,1/17/2020
USD,915.457141,924.610788,933.764435,1/20/2020
USD,915.596073,924.751109,933.906145,1/21/2020
USD,915.77472,924.931542,934.088364,1/22/2020
USD,915.903861,925.061975,934.220089,1/23/2020
USD,916.092298,925.252296,934.412294,1/24/2020
USD,916.251133,925.412719,934.574305,1/27/2020
USD,916.42967,925.593041,934.756412,1/28/2020
USD,916.598305,925.763362,934.928419,1/29/2020
USD,916.747139,925.913684,935.080229,1/30/2020
USD,916.915883,926.084116,935.252349,1/31/2020
USD,917.084652,926.254572,935.424492,2/4/2020
USD,917.273191,926.444996,935.616801,2/5/2020
USD,917.432034,926.605428,935.778822,2/6/2020
USD,917.60078,926.775861,935.950942,2/7/2020
USD,917.779426,926.956293,936.13316,2/10/2020
USD,917.987668,927.166618,936.345568,2/11/2020
USD,918.146405,927.326942,936.507479,2/12/2020
USD,918.295349,927.477375,936.659401,2/13/2020
USD,918.463984,927.647696,936.831408,2/14/2020
USD,918.602916,927.788017,936.973118,2/17/2020
USD,918.722046,927.908339,937.094632,2/18/2020
USD,918.940177,928.128651,937.317125,2/19/2020
USD,919.099021,928.289083,937.479145,2/20/2020
USD,919.257469,928.449115,937.640761,2/21/2020
USD,919.426213,928.619547,937.812881,2/24/2020
USD,919.565146,928.759869,937.954592,2/25/2020
USD,919.713872,928.910082,938.106292,2/26/2020
USD,919.882508,929.080404,938.2783,2/27/2020
USD,920.001638,929.200725,938.399812,2/28/2020
USD,920.180175,929.381047,938.581919,3/2/2020
USD,920.041242,929.240725,938.440208,3/3/2020
USD,920.140571,929.341047,938.541523,3/4/2020
USD,920.090756,929.290734,938.490712,3/5/2020
USD,920.239699,929.441167,938.642635,3/6/2020
USD,920.378631,929.581488,938.784345,3/9/2020
USD,920.527288,929.731631,938.935974,3/10/2020
USD,920.338741,929.541199,938.743657,3/11/2020
USD,920.556882,929.761521,938.96616,3/12/2020
USD,920.65621,929.861842,939.067474,3/13/2020
USD,920.834459,930.041874,939.249289,3/16/2020
USD,920.675726,929.881553,939.08738,3/17/2020
USD,920.824875,930.032194,939.239513,3/18/2020
USD,920.943938,930.152447,939.360956,3/19/2020
USD,921.063107,930.272808,939.482509,3/20/2020
USD,921.231457,930.442841,939.654225,3/23/2020
USD,921.301073,930.513153,939.725233,3/24/2020
USD,921.321193,930.533474,939.745755,3/25/2020
USD,921.400719,930.613796,939.826873,3/26/2020
USD,921.370698,930.583474,939.79625,3/27/2020
USD,921.360479,930.573153,939.785827,3/30/2020
USD,921.469601,930.683366,939.897131,3/31/2020
USD,921.529434,930.743798,939.958162,4/1/2020
USD,921.380602,930.593477,939.806352,4/2/2020
USD,921.549129,930.76369,939.978251,4/3/2020
USD,921.499303,930.713365,939.927427,4/6/2020
USD,921.529324,930.743687,939.95805,4/8/2020
USD,921.569246,930.784008,939.99877,4/9/2020
USD,921.628684,930.84404,940.059396,4/14/2020
USD,921.658452,930.874106,940.08976,4/15/2020
USD,921.648499,930.864053,940.079607,4/16/2020
USD,921.608868,930.824026,940.039184,4/17/2020
USD,921.777246,930.994087,940.210928,4/20/2020
USD,921.846582,931.064117,940.281652,4/21/2020
USD,921.925861,931.144188,940.362515,4/22/2020
USD,922.027918,931.247266,940.466614,4/23/2020
USD,922.157002,931.377641,940.59828,4/24/2020
USD,922.305654,931.527779,940.749904,4/27/2020
USD,922.355458,931.578081,940.800704,4/28/2020
USD,922.41495,931.638168,940.861386,4/29/2020
USD,922.48427,931.708181,940.932092,4/30/2020
USD,922.534037,931.758446,940.982855,5/4/2020
USD,922.544093,931.768602,940.993111,5/5/2020
USD,922.672838,931.898634,941.12443,5/6/2020
USD,922.851375,932.078957,941.306539,5/7/2020
USD,922.83135,932.058731,941.286112,5/8/2020
USD,922.980202,932.209072,941.437942,5/11/2020
USD,923.148554,932.379107,941.60966,5/12/2020
USD,923.247792,932.479337,941.710882,5/13/2020
USD,923.366891,932.599627,941.832363,5/14/2020
USD,923.50572,932.739844,941.973968,5/15/2020
USD,923.624759,932.860074,942.095389,5/18/2020
USD,923.793321,933.030321,942.267321,5/19/2020
USD,923.694013,932.93002,942.166027,5/20/2020
USD,923.852519,933.090111,942.327703,5/21/2020
USD,923.951833,933.190418,942.429003,5/22/2020
USD,924.150113,933.390681,942.631249,5/26/2020
USD,924.189717,933.430681,942.671645,5/27/2020
USD,924.259335,933.500995,942.742655,5/28/2020
USD,924.309268,933.551427,942.793586,5/29/2020
USD,924.497706,933.741749,942.985792,6/1/2020
USD,924.735652,933.982075,943.228498,6/2/2020
USD,924.825083,934.0724,943.319717,6/3/2020
USD,925.082827,934.332721,943.582615,6/4/2020
USD,925.271583,934.523364,943.775145,6/5/2020
USD,925.341232,934.59371,943.846188,6/8/2020
USD,925.529669,934.784031,944.038393,6/9/2020
USD,925.688403,934.944352,944.200301,6/10/2020
USD,925.886742,935.144674,944.402606,6/11/2020
USD,925.876629,935.13446,944.392291,6/12/2020
USD,925.985876,935.2448,944.503724,6/15/2020
USD,925.836934,935.094368,944.351802,6/16/2020
USD,925.965966,935.22469,944.483414,6/17/2020
USD,926.184096,935.445002,944.705908,6/18/2020
USD,926.352732,935.615324,944.877916,6/19/2020
USD,926.570872,935.835645,945.100418,6/22/2020
USD,926.640607,935.906077,945.171547,6/23/2020
USD,926.87855,936.146399,945.414248,6/24/2020
USD,927.2056,936.47672,945.74784,6/25/2020
USD,927.314829,936.587041,945.859253,6/26/2020
USD,927.235312,936.506729,945.778146,6/29/2020
USD,927.800097,937.077161,946.354225,6/30/2020
USD,928.165325,937.446041,946.726757,7/2/2020
USD,928.423069,937.706362,946.989655,7/3/2020
USD,928.601727,937.886806,947.171885,7/7/2020
USD,928.937361,938.225796,947.514231,7/8/2020
USD,929.307947,938.600088,947.892229,7/9/2020
USD,929.674603,938.97041,948.266217,7/10/2020
USD,929.912349,939.210533,948.508717,7/13/2020
USD,930.422282,939.725565,949.028848,7/14/2020
USD,930.501809,939.805887,949.109965,7/15/2020
USD,930.799157,940.106208,949.413259,7/16/2020
USD,931.185327,940.49624,949.807153,7/17/2020
USD,931.393567,940.706562,950.019557,7/20/2020
USD,931.715371,941.031584,950.347797,7/21/2020
USD,932.151333,941.471905,950.792477,7/22/2020
USD,932.59225,941.917231,951.242212,7/23/2020
USD,933.08433,942.414231,951.744132,7/24/2020
USD,933.643246,942.978735,952.314224,7/27/2020
USD,933.543918,942.878414,952.21291,7/28/2020
USD,933.900358,943.238418,952.576478,7/29/2020
USD,934.341942,943.684418,953.026894,7/30/2020
USD,934.607611,943.952743,953.297875,8/3/2020
USD,934.637632,943.983064,953.328496,8/4/2020
USD,935.014187,944.363385,953.712583,8/5/2020
USD,935.3608661,944.71353,954.0661939,8/6/2020
USD,935.68781,945.043743,954.399676,8/10/2020
USD,936.153474,945.514063,954.874652,8/11/2020
USD,936.609045,945.974189,955.339333,8/12/2020
USD,937.163641,946.534331,955.905021,8/13/2020
USD,937.607107,946.982231,956.357355,8/14/2020
USD,937.696338,947.072354,956.44837,8/18/2020
USD,938.043191,947.422675,956.802159,8/19/2020
USD,938.436282,947.819697,957.203112,8/20/2020
USD,938.859212,948.246856,957.6345,8/21/2020
USD,939.057443,948.447069,957.836695,8/24/2020
USD,939.245774,948.637283,958.028792,8/25/2020
USD,939.661827,949.057496,958.453165,8/26/2020
USD,939.939178,949.33762,958.736062,8/27/2020
USD,940.216527,949.617743,959.018959,8/28/2020
USD,940.503867,949.907956,959.312045,8/31/2020
USD,940.731802,950.13817,959.544538,9/1/2020
USD,941.118151,950.528382,959.938613,9/2/2020
USD,941.336292,950.748704,960.161116,9/3/2020
USD,941.584135,950.999025,960.413915,9/4/2020
USD,941.92098,951.339238,960.757496,9/7/2020
USD,942.317231,951.739452,961.161673,9/8/2020
USD,942.535371,951.959773,961.384175,9/9/2020
USD,942.911928,952.340095,961.768262,9/10/2020
USD,943.110266,952.540416,961.970566,9/11/2020
USD,943.288802,952.720737,962.152672,9/14/2020
USD,943.800012,953.237059,962.674106,9/15/2020
USD,944.018152,953.45738,962.896608,9/16/2020
USD,944.245896,953.687401,963.128906,9/17/2020
USD,944.647502,954.093023,963.538544,9/18/2020
USD,944.855741,954.303344,963.750947,9/21/2020
USD,945.113379,954.563558,964.013737,9/22/2020
USD,945.556075,955.010681,964.465287,9/23/2020
USD,945.800841,955.257894,964.714947,9/24/2020
USD,946.381053,955.843908,965.306763,9/25/2020
USD,946.774794,956.241586,965.708378,9/28/2020
USD,947.040352,956.509799,965.979246,9/29/2020
USD,947.337506,956.809924,966.282342,9/30/2020
USD,947.565441,957.040138,966.514835,10/1/2020
USD,947.92856,957.406888,966.885216,10/2/2020
USD,948.489967,957.973909,967.457851,10/5/2020
USD,948.757506,958.244123,967.73074,10/6/2020
USD,949.397132,958.890144,968.383156,10/7/2020
USD,949.644867,959.140357,968.635847,10/8/2020
USD,949.862832,959.360501,968.85817,10/9/2020
USD,950.334331,959.836714,969.339097,10/12/2020
USD,950.591967,960.096927,969.601887,10/13/2020
USD,950.790111,960.297052,969.803993,10/14/2020
USD,951.301034,960.813084,970.325134,10/15/2020
USD,951.703333,961.219405,970.735477,10/16/2020
USD,951.921484,961.439737,970.95799,10/19/2020
USD,952.119714,961.63995,971.160186,10/20/2020
USD,952.423887,961.947164,971.470441,10/21/2020
USD,952.57272,962.097485,971.62225,10/22/2020
USD,952.879772,962.407607,971.935442,10/23/2020
USD,953.068209,962.597928,972.127647,10/26/2020
USD,953.226943,962.75825,972.289557,10/27/2020
USD,953.395471,962.928463,972.461455,10/28/2020
USD,953.544197,963.078676,972.613155,10/29/2020
USD,953.722627,963.25889,972.795153,10/30/2020
USD,953.920859,963.459104,972.997349,11/2/2020
USD,954.208199,963.749317,973.290435,11/3/2020
USD,954.386537,963.929438,973.472339,11/4/2020
USD,954.653975,964.199551,973.745127,11/5/2020
USD,954.941226,964.489674,974.038122,11/6/2020
USD,955.266011,964.817706,974.369401,11/9/2020
USD,955.484045,965.03792,974.591795,11/10/2020
USD,955.721799,965.278052,974.834305,11/11/2020
USD,956.006969,965.566073,975.125177,11/12/2020
USD,956.312232,965.874388,975.436544,11/13/2020
USD,956.556997,966.121601,975.686205,11/16/2020
USD,956.774941,966.341724,975.908507,11/17/2020
USD,957.099706,966.669736,976.239766,11/18/2020
USD,957.287045,966.858949,976.430853,11/19/2020
USD,957.465284,967.03897,976.612656,11/20/2020
USD,957.633623,967.208992,976.784361,11/23/2020
USD,957.881466,967.459313,977.03716,11/24/2020
USD,958.158816,967.739436,977.320056,11/25/2020
USD,958.356857,967.939458,977.522059,11/26/2020
USD,958.584601,968.169479,977.754357,11/27/2020
USD,958.842039,968.429491,978.016943,11/30/2020
USD,959.000487,968.589523,978.178559,12/1/2020
USD,959.238142,968.829555,978.420968,12/2/2020
USD,959.436184,969.029577,978.62297,12/3/2020
USD,959.594918,969.189898,978.784878,12/4/2020
USD,959.822653,969.41991,979.017167,12/7/2020
USD,960.020695,969.619932,979.219169,12/8/2020
USD,960.208826,969.809944,979.411062,12/9/2020
USD,960.357361,969.959965,979.562569,12/10/2020
USD,960.486107,970.089998,979.693889,12/11/2020
USD,960.654445,970.260019,979.865593,12/14/2020
USD,960.911892,970.52004,980.128188,12/15/2020
USD,961.100032,970.710062,980.320092,12/16/2020
USD,961.337677,970.950083,980.562489,12/17/2020
USD,961.537005,971.151404,980.765803,12/18/2020
USD,961.705533,971.321617,980.937701,12/21/2020
USD,961.923674,971.541939,981.160204,12/22/2020
USD,962.112111,971.73226,981.352409,12/23/2020
USD,962.290541,971.912474,981.534407,12/24/2020
USD,962.528376,972.152688,981.777,12/29/2020
USD,962.746409,972.372901,981.999393,12/30/2020
USD,962.8475331,972.475036,982.1025389,12/31/2020
USD,962.917052,972.54525,982.173448,1/5/2021
USD,963.217469,972.848671,982.479873,1/6/2021
USD,963.058625,972.688239,982.317853,1/7/2021
USD,963.280408,972.912239,982.54407,1/8/2021
USD,963.557649,973.192252,982.826855,1/11/2021
USD,963.577662,973.212465,982.847268,1/12/2021
USD,963.816902,973.454098,983.091294,1/13/2021
USD,963.91623,973.554419,983.192608,1/14/2021
USD,963.985855,973.62474,983.263625,1/15/2021
USD,964.154304,973.794873,983.435442,1/18/2021
USD,964.352535,973.995086,983.637637,1/19/2021
USD,964.521063,974.165299,983.809535,1/20/2021
USD,964.768799,974.415513,984.062227,1/21/2021
USD,965.006741,974.655834,984.304927,1/22/2021
USD,964.907412,974.555512,984.203612,1/25/2021
USD,965.095743,974.745726,984.395709,1/26/2021
USD,965.17526,974.826038,984.476816,1/27/2021
USD,965.274589,974.92636,984.578131,1/28/2021
USD,965.541937,975.196381,984.850825,1/29/2021
USD,965.749999,975.406524,985.063049,2/2/2021
USD,965.779822,975.436645,985.093468,2/3/2021
USD,965.809638,975.466759,985.12388,2/4/2021
USD,966.007869,975.666972,985.326075,2/5/2021
USD,966.166416,975.827104,985.487792,2/8/2021
USD,966.295129,975.957104,985.619079,2/9/2021
USD,966.443765,976.107227,985.770689,2/10/2021
USD,966.533086,976.197441,985.861796,2/11/2021
USD,966.691713,976.357654,986.023595,2/12/2021
USD,966.880043,976.547867,986.215691,2/15/2021
USD,966.770921,976.437654,986.104387,2/16/2021
USD,966.880043,976.547867,986.215691,2/17/2021
USD,966.838326,976.505733,986.17314,2/18/2021
USD,966.96725,976.635946,986.304642,2/19/2021
USD,967.035779,976.70516,986.374541,2/22/2021
USD,966.905864,976.573946,986.242028,2/23/2021
USD,967.213006,976.884159,986.555312,2/24/2021
USD,967.302327,976.974373,986.646419,2/25/2021
USD,967.292215,976.96416,986.636105,2/26/2021
USD,967.510248,977.184373,986.858498,3/1/2021
USD,967.470331,977.144057,986.817783,3/2/2021
USD,967.707955,977.384057,987.060159,3/3/2021
USD,967.608627,977.283736,986.958845,3/4/2021
USD,967.707848,977.383949,987.06005,3/5/2021
USD,967.826978,977.50427,987.181562,3/8/2021
USD,967.708134,977.384238,987.060342,3/9/2021
USD,967.718067,977.39427,987.070473,3/10/2021
USD,967.797594,977.474592,987.15159,3/11/2021
USD,967.901575,977.579613,987.257651,3/12/2021
USD,968.000797,977.679827,987.358857,3/15/2021
USD,968.179226,977.86004,987.540854,3/16/2021
USD,968.367662,978.050361,987.73306,3/17/2021
